day;hour;value
1;0;5
1;1;5
1;2;5
1;3;5
1;4;5
1;5;5
1;6;5
1;7;5
1;8;6
1;9;4
1;10;6
1;11;1
1;12;1
1;13;1
1;14;9
1;15;15
1;16;7
1;17;5
1;18;6
1;19;3
1;20;3
1;21;4
1;22;5
1;23;3
2;0;2
2;1;2
2;2;5
2;3;2
2;4;2
2;5;2
2;6;2
2;7;2
2;8;4
2;9;5
2;10;6
2;11;5
2;12;8
2;13;9
2;14;15
2;15;11
2;16;8
2;17;11
2;18;8
2;19;14
2;20;11
2;21;7
2;22;7
2;23;6
3;0;6
3;1;6
3;2;6
3;3;6
3;4;5
3;5;5
3;6;5
3;7;7
3;8;6
3;9;7
3;10;7
3;11;9
3;12;13
3;13;5
3;14;9
3;15;14
3;16;13
3;17;5
3;18;6
3;19;7
3;20;5
3;21;5
3;22;5
3;23;4
4;0;4
4;1;4
4;2;4
4;3;4
4;4;4
4;5;4
4;6;4
4;7;4
4;8;14
4;9;17
4;10;6
4;11;9
4;12;9
4;13;10
4;14;8
4;15;11
4;16;13
4;17;15
4;18;10
4;19;11
4;20;12
4;21;7
4;22;7
4;23;7
5;0;7
5;1;7
5;2;7
5;3;7
5;4;7
5;5;7
5;6;8
5;7;7
5;8;7
5;9;9
5;10;7
5;11;7
5;12;7
5;13;6
5;14;14
5;15;9
5;16;9
5;17;9
5;18;9
5;19;10
5;20;10
5;21;14
5;22;14
5;23;10
6;0;11
6;1;11
6;2;8
6;3;8
6;4;8
6;5;8
6;6;8
6;7;8
6;8;8
6;9;7
6;10;6
6;11;6
6;12;6
6;13;6
6;14;6
6;15;6
6;16;6
6;17;6
6;18;6
6;19;7
6;20;5
6;21;5
6;22;5
6;23;5
7;0;5
7;1;5
7;2;5
7;3;5
7;4;5
7;5;5
7;6;5
7;7;5
7;8;5
7;9;5
7;10;5
7;11;5
7;12;5
7;13;5
7;14;5
7;15;5
7;16;5
7;17;5
7;18;5
7;19;5
7;20;5
7;21;5
7;22;5
7;23;5
