day;hour;value
1;0;0
1;1;0
1;2;0
1;3;0
1;4;0
1;5;0
1;6;0
1;7;0
1;8;3
1;9;0
1;10;2
1;11;0
1;12;0
1;13;0
1;14;8
1;15;13
1;16;3
1;17;2
1;18;4
1;19;0
1;20;0
1;21;1
1;22;3
1;23;1
2;0;0
2;1;0
2;2;3
2;3;0
2;4;0
2;5;0
2;6;0
2;7;0
2;8;2
2;9;2
2;10;3
2;11;1
2;12;5
2;13;6
2;14;13
2;15;7
2;16;1
2;17;4
2;18;2
2;19;9
2;20;5
2;21;2
2;22;1
2;23;1
3;0;0
3;1;2
3;2;0
3;3;0
3;4;0
3;5;0
3;6;0
3;7;3
3;8;0
3;9;1
3;10;1
3;11;2
3;12;8
3;13;0
3;14;4
3;15;8
3;16;7
3;17;0
3;18;2
3;19;3
3;20;0
3;21;1
3;22;0
3;23;0
4;0;0
4;1;0
4;2;0
4;3;0
4;4;0
4;5;0
4;6;0
4;7;0
4;8;10
4;9;8
4;10;2
4;11;5
4;12;2
4;13;4
4;14;1
4;15;3
4;16;4
4;17;8
4;18;5
4;19;5
4;20;6
4;21;0
4;22;0
4;23;0
5;0;0
5;1;0
5;2;0
5;3;0
5;4;0
5;5;0
5;6;1
5;7;0
5;8;0
5;9;3
5;10;0
5;11;0
5;12;1
5;13;0
5;14;9
5;15;2
5;16;3
5;17;1
5;18;1
5;19;2
5;20;1
5;21;6
5;22;6
5;23;1
6;0;2
6;1;3
6;2;0
6;3;0
6;4;0
6;5;0
6;6;0
6;7;0
6;8;0
6;9;0
6;10;0
6;11;0
6;12;0
6;13;0
6;14;0
6;15;0
6;16;0
6;17;1
6;18;0
6;19;1
6;20;0
6;21;0
6;22;0
6;23;0
7;0;0
7;1;0
7;2;0
7;3;0
7;4;0
7;5;0
7;6;0
7;7;0
7;8;0
7;9;0
7;10;0
7;11;0
7;12;0
7;13;0
7;14;0
7;15;0
7;16;0
7;17;0
7;18;0
7;19;0
7;20;0
7;21;0
7;22;0
7;23;0
