day;hour;value
1;0;0
1;1;0
1;2;0
1;3;0
1;4;0
1;5;0
1;6;0
1;7;1
1;8;6
1;9;2
1;10;2
1;11;7
1;12;0
1;13;0
1;14;10
1;15;32
1;16;8
1;17;2
1;18;4
1;19;0
1;20;0
1;21;1
1;22;3
1;23;1
2;0;0
2;1;0
2;2;3
2;3;0
2;4;0
2;5;0
2;6;0
2;7;0
2;8;4
2;9;3
2;10;5
2;11;3
2;12;7
2;13;12
2;14;25
2;15;12
2;16;5
2;17;4
2;18;2
2;19;9
2;20;5
2;21;2
2;22;1
2;23;1
3;0;0
3;1;2
3;2;0
3;3;0
3;4;0
3;5;0
3;6;0
3;7;6
3;8;0
3;9;1
3;10;5
3;11;4
3;12;15
3;13;2
3;14;13
3;15;13
3;16;8
3;17;0
3;18;2
3;19;3
3;20;0
3;21;1
3;22;0
3;23;0
4;0;0
4;1;0
4;2;0
4;3;0
4;4;0
4;5;0
4;6;0
4;7;0
4;8;25
4;9;17
4;10;8
4;11;12
4;12;10
4;13;7
4;14;5
4;15;6
4;16;7
4;17;8
4;18;7
4;19;5
4;20;6
4;21;0
4;22;0
4;23;0
5;0;0
5;1;0
5;2;0
5;3;0
5;4;0
5;5;0
5;6;1
5;7;0
5;8;0
5;9;8
5;10;7
5;11;3
5;12;9
5;13;8
5;14;11
5;15;8
5;16;9
5;17;1
5;18;1
5;19;2
5;20;3
5;21;11
5;22;6
5;23;1
6;0;2
6;1;3
6;2;0
6;3;0
6;4;0
6;5;1
6;6;0
6;7;0
6;8;0
6;9;0
6;10;0
6;11;0
6;12;1
6;13;1
6;14;1
6;15;0
6;16;0
6;17;1
6;18;0
6;19;1
6;20;0
6;21;0
6;22;0
6;23;0
7;0;0
7;1;0
7;2;0
7;3;0
7;4;0
7;5;0
7;6;0
7;7;0
7;8;0
7;9;0
7;10;0
7;11;0
7;12;0
7;13;0
7;14;0
7;15;0
7;16;0
7;17;0
7;18;0
7;19;0
7;20;0
7;21;0
7;22;0
7;23;0
